ID,Lab,Hand,Sex,CDA2,CDA4,CDA6,K,D_prime
sub-Vog269,Zürich (Prof. Langer),r,f,NaN,NaN,NaN,3.13887594796645,3.06708181086652
sub-Vog270,Zürich (Prof. Langer),r,m,NaN,NaN,NaN,1.52758426708825,1.83888397693281
sub-Vog271,Zürich (Prof. Langer),r,m,NaN,NaN,NaN,2.72110399594774,2.68079202718893
sub-Vog272,Zürich (Prof. Langer),r,f,NaN,NaN,NaN,2.84120052772589,3.26855058185135
sub-Vog273,Zürich (Prof. Langer),r,m,NaN,NaN,NaN,1.84093153983581,1.73535648358356
sub-Vog274,Zürich (Prof. Langer),r,f,NaN,NaN,NaN,2.76531453146724,2.90390340885848
sub-Vog275,Zürich (Prof. Langer),r,f,NaN,NaN,NaN,3.29116244137187,3.48737150900645
sub-Vog276,Zürich (Prof. Langer),r,m,NaN,NaN,NaN,2.71346251598323,2.24052648925082
sub-Vog277,Zürich (Prof. Langer),r,f,NaN,NaN,NaN,2.83820118865838,3.23463139515653
sub-Vog278,Zürich (Prof. Langer),r,m,NaN,NaN,NaN,2.22574032172395,2.51210131496218
sub-Vog279,Zürich (Prof. Langer),r,m,NaN,NaN,NaN,2.71716310149593,2.66867400069144
sub-Vog280,Zürich (Prof. Langer),r,f,NaN,NaN,NaN,1.79909297052154,1.60792523832702
sub-Vog281,Zürich (Prof. Sauseng),r,m,NaN,NaN,NaN,2.38614681887994,2.50243711089961
sub-Vog282,Zürich (Prof. Sauseng),r,f,NaN,NaN,NaN,1.35307251228304,1.27639540522881
sub-Vog283,Zürich (Prof. Sauseng),r,m,NaN,NaN,NaN,1.80042961983197,1.7802095507012
sub-Vog284,Zürich (Prof. Sauseng),r,m,NaN,NaN,NaN,3.16271119256125,3.29960336541782
sub-Vog285,Zürich (Prof. Sauseng),r,f,NaN,NaN,NaN,2.50527277272465,2.72027534207684
sub-Vog286,Zürich (Prof. Sauseng),r,m,NaN,NaN,NaN,1.50320406404044,1.30887709072179
sub-Vog287,Zürich (Prof. Sauseng),r,f,NaN,NaN,NaN,2.8472829992352,2.91214078841533
